Date,US_CPI_LEVEL
1993-02-05,137.45131578947368
1993-02-08,137.8278947368421
1993-02-09,138.2044736842105
1993-02-10,138.58105263157893
1993-02-11,138.95763157894737
1993-02-12,139.3342105263158
1993-02-15,139.7107894736842
1993-02-16,140.08736842105262
1993-02-17,140.46394736842106
1993-02-18,140.84052631578948
1993-02-19,141.2171052631579
1993-02-22,141.5936842105263
1993-02-23,141.97026315789472
1993-02-24,142.34684210526316
1993-02-25,142.72342105263158
1993-02-26,143.1
1993-03-01,136.42
1993-03-02,136.7463636363636
1993-03-03,137.07272727272726
1993-03-04,137.3990909090909
1993-03-05,137.72545454545454
1993-03-08,138.05181818181816
1993-03-09,138.37818181818182
1993-03-10,138.70454545454544
1993-03-11,139.0309090909091
1993-03-12,139.35727272727271
1993-03-15,139.68363636363637
1993-03-16,140.01
1993-03-17,140.33636363636361
1993-03-18,140.66272727272727
1993-03-19,140.9890909090909
1993-03-22,141.31545454545454
1993-03-23,141.64181818181817
1993-03-24,141.96818181818182
1993-03-25,142.29454545454544
1993-03-26,142.6209090909091
1993-03-29,142.94727272727272
1993-03-30,143.27363636363637
1993-03-31,143.6
1993-04-01,136.79999999999998
1993-04-02,137.14285714285714
1993-04-05,137.48571428571427
1993-04-06,137.82857142857142
1993-04-07,138.17142857142855
1993-04-08,138.5142857142857
1993-04-09,138.85714285714283
1993-04-12,139.2
1993-04-13,139.54285714285714
1993-04-14,139.88571428571427
1993-04-15,140.22857142857143
1993-04-16,140.57142857142856
1993-04-19,140.9142857142857
1993-04-20,141.25714285714284
1993-04-21,141.6
1993-04-22,141.94285714285715
1993-04-23,142.28571428571428
1993-04-26,142.62857142857143
1993-04-27,142.97142857142856
1993-04-28,143.31428571428572
1993-04-29,143.65714285714284
1993-04-30,144.0
1993-05-03,136.98999999999998
1993-05-04,137.35049999999998
1993-05-05,137.71099999999998
1993-05-06,138.0715
1993-05-07,138.432
1993-05-10,138.7925
1993-05-11,139.153
1993-05-12,139.5135
1993-05-13,139.874
1993-05-14,140.2345
1993-05-17,140.59499999999997
1993-05-18,140.95549999999997
1993-05-19,141.31599999999997
1993-05-20,141.67649999999998
1993-05-21,142.03699999999998
1993-05-24,142.39749999999998
1993-05-25,142.75799999999998
1993-05-26,143.11849999999998
1993-05-27,143.47899999999998
1993-05-28,143.8395
1993-05-31,144.2
1993-06-01,137.18
1993-06-02,137.52380952380952
1993-06-03,137.86761904761906
1993-06-04,138.21142857142857
1993-06-07,138.5552380952381
1993-06-08,138.89904761904762
1993-06-09,139.24285714285716
1993-06-10,139.58666666666667
1993-06-11,139.93047619047618
1993-06-14,140.27428571428572
1993-06-15,140.61809523809524
1993-06-16,140.96190476190478
1993-06-17,141.3057142857143
1993-06-18,141.64952380952383
1993-06-21,141.99333333333334
1993-06-22,142.33714285714285
1993-06-23,142.6809523809524
1993-06-24,143.0247619047619
1993-06-25,143.36857142857144
1993-06-28,143.71238095238095
1993-06-29,144.0561904761905
1993-06-30,144.4
1993-07-01,137.18
1993-07-02,137.52380952380952
1993-07-05,137.86761904761906
1993-07-06,138.21142857142857
1993-07-07,138.5552380952381
1993-07-08,138.89904761904762
1993-07-09,139.24285714285716
1993-07-12,139.58666666666667
1993-07-13,139.93047619047618
1993-07-14,140.27428571428572
1993-07-15,140.61809523809524
1993-07-16,140.96190476190478
1993-07-19,141.3057142857143
1993-07-20,141.64952380952383
1993-07-21,141.99333333333334
1993-07-22,142.33714285714285
1993-07-23,142.6809523809524
1993-07-26,143.0247619047619
1993-07-27,143.36857142857144
1993-07-28,143.71238095238095
1993-07-29,144.0561904761905
1993-07-30,144.4
1993-08-02,137.56
1993-08-03,137.9047619047619
1993-08-04,138.24952380952382
1993-08-05,138.59428571428572
1993-08-06,138.9390476190476
1993-08-09,139.28380952380954
1993-08-10,139.62857142857143
1993-08-11,139.97333333333333
1993-08-12,140.31809523809525
1993-08-13,140.66285714285715
1993-08-16,141.00761904761904
1993-08-17,141.35238095238097
1993-08-18,141.69714285714286
1993-08-19,142.04190476190476
1993-08-20,142.38666666666668
1993-08-23,142.73142857142858
1993-08-24,143.07619047619048
1993-08-25,143.4209523809524
1993-08-26,143.7657142857143
1993-08-27,144.1104761904762
1993-08-30,144.45523809523812
1993-08-31,144.8
1993-09-01,137.845
1993-09-02,138.19047619047618
1993-09-03,138.53595238095238
1993-09-06,138.88142857142856
1993-09-07,139.22690476190476
1993-09-08,139.57238095238094
1993-09-09,139.91785714285714
1993-09-10,140.26333333333332
1993-09-13,140.60880952380953
1993-09-14,140.9542857142857
1993-09-15,141.2997619047619
1993-09-16,141.64523809523808
1993-09-17,141.9907142857143
1993-09-20,142.33619047619047
1993-09-21,142.68166666666667
1993-09-22,143.02714285714285
1993-09-23,143.37261904761905
1993-09-24,143.71809523809523
1993-09-27,144.06357142857144
1993-09-28,144.4090476190476
1993-09-29,144.75452380952382
1993-09-30,145.1
1993-10-01,138.415
1993-10-04,138.77925
1993-10-05,139.1435
1993-10-06,139.50775
1993-10-07,139.87199999999999
1993-10-08,140.23624999999998
1993-10-11,140.60049999999998
1993-10-12,140.96474999999998
1993-10-13,141.32899999999998
1993-10-14,141.69324999999998
1993-10-15,142.0575
1993-10-18,142.42175
1993-10-19,142.786
1993-10-20,143.15025
1993-10-21,143.5145
1993-10-22,143.87875
1993-10-25,144.243
1993-10-26,144.60725
1993-10-27,144.9715
1993-10-28,145.33575
1993-10-29,145.7
1993-11-01,138.51
1993-11-02,138.85714285714286
1993-11-03,139.2042857142857
1993-11-04,139.55142857142857
1993-11-05,139.89857142857142
1993-11-08,140.24571428571429
1993-11-09,140.59285714285713
1993-11-10,140.94
1993-11-11,141.28714285714287
1993-11-12,141.6342857142857
1993-11-15,141.98142857142858
1993-11-16,142.32857142857142
1993-11-17,142.6757142857143
1993-11-18,143.02285714285713
1993-11-19,143.37
1993-11-22,143.71714285714287
1993-11-23,144.06428571428572
1993-11-24,144.4114285714286
1993-11-25,144.75857142857143
1993-11-26,145.1057142857143
1993-11-29,145.45285714285714
1993-11-30,145.8
1993-12-01,138.51
1993-12-02,138.84136363636364
1993-12-03,139.17272727272726
1993-12-06,139.5040909090909
1993-12-07,139.83545454545455
1993-12-08,140.16681818181817
1993-12-09,140.49818181818182
1993-12-10,140.82954545454544
1993-12-13,141.1609090909091
1993-12-14,141.49227272727273
1993-12-15,141.82363636363635
1993-12-16,142.155
1993-12-17,142.48636363636365
1993-12-20,142.81772727272727
1993-12-21,143.14909090909092
1993-12-22,143.48045454545456
1993-12-23,143.81181818181818
1993-12-24,144.14318181818183
1993-12-27,144.47454545454545
1993-12-28,144.8059090909091
1993-12-29,145.13727272727274
1993-12-30,145.46863636363636
1993-12-31,145.8
1994-01-03,138.89
1994-01-04,139.25549999999998
1994-01-05,139.62099999999998
1994-01-06,139.98649999999998
1994-01-07,140.35199999999998
1994-01-10,140.71749999999997
1994-01-11,141.083
1994-01-12,141.4485
1994-01-13,141.814
1994-01-14,142.1795
1994-01-17,142.545
1994-01-18,142.91049999999998
1994-01-19,143.27599999999998
1994-01-20,143.64149999999998
1994-01-21,144.00699999999998
1994-01-24,144.3725
1994-01-25,144.738
1994-01-26,145.1035
1994-01-27,145.469
1994-01-28,145.8345
1994-01-31,146.2
1994-02-01,139.36499999999998
1994-02-02,139.75105263157891
1994-02-03,140.13710526315788
1994-02-04,140.5231578947368
1994-02-07,140.90921052631577
1994-02-08,141.2952631578947
1994-02-09,141.68131578947367
1994-02-10,142.0673684210526
1994-02-11,142.45342105263157
1994-02-14,142.8394736842105
1994-02-15,143.22552631578947
1994-02-16,143.6115789473684
1994-02-17,143.99763157894736
1994-02-18,144.3836842105263
1994-02-21,144.76973684210526
1994-02-22,145.1557894736842
1994-02-23,145.54184210526316
1994-02-24,145.9278947368421
1994-02-25,146.31394736842105
1994-02-28,146.7
1994-03-01,139.83999999999997
1994-03-02,140.17454545454544
1994-03-03,140.50909090909087
1994-03-04,140.84363636363634
1994-03-07,141.1781818181818
1994-03-08,141.51272727272726
1994-03-09,141.8472727272727
1994-03-10,142.18181818181816
1994-03-11,142.51636363636362
1994-03-14,142.85090909090908
1994-03-15,143.18545454545452
1994-03-16,143.51999999999998
1994-03-17,143.85454545454544
1994-03-18,144.18909090909088
1994-03-21,144.52363636363634
1994-03-22,144.8581818181818
1994-03-23,145.19272727272727
1994-03-24,145.5272727272727
1994-03-25,145.86181818181817
