Date,US_CPI_DAILY_INTERP
2021-04-05,265.2398333333333
2021-04-06,265.3124
2021-04-07,265.3849666666667
2021-04-08,265.45753333333334
2021-04-09,265.5301
2021-04-12,265.7478
2021-04-13,265.82036666666664
2021-04-14,265.8929333333333
2021-04-15,265.96549999999996
2021-04-16,266.0380666666667
2021-04-19,266.25576666666666
2021-04-20,266.3283333333333
2021-04-21,266.4009
2021-04-22,266.47346666666664
2021-04-23,266.5460333333333
2021-04-26,266.76373333333333
2021-04-27,266.8363
2021-04-28,266.90886666666665
2021-04-29,266.9814333333333
2021-04-30,267.054
2021-05-03,267.2611935483871
2021-05-04,267.3302580645161
2021-05-05,267.39932258064516
2021-05-06,267.46838709677417
2021-05-07,267.5374516129032
2021-05-10,267.7446451612903
2021-05-11,267.81370967741935
2021-05-12,267.88277419354836
2021-05-13,267.9518387096774
2021-05-14,268.0209032258064
2021-05-17,268.22809677419355
2021-05-18,268.29716129032255
2021-05-19,268.3662258064516
2021-05-20,268.4352903225806
2021-05-21,268.5043548387097
2021-05-24,268.71154838709674
2021-05-25,268.7806129032258
2021-05-26,268.8496774193548
2021-05-27,268.91874193548387
2021-05-28,268.98780645161287
2021-05-31,269.195
2021-06-01,269.27836666666667
2021-06-02,269.36173333333335
2021-06-03,269.4451
2021-06-04,269.52846666666665
2021-06-07,269.7785666666667
2021-06-08,269.86193333333335
2021-06-09,269.94530000000003
2021-06-10,270.02866666666665
2021-06-11,270.11203333333333
2021-06-14,270.36213333333336
2021-06-15,270.44550000000004
2021-06-16,270.52886666666666
2021-06-17,270.61223333333334
2021-06-18,270.6956
2021-06-21,270.94570000000004
2021-06-22,271.02906666666667
2021-06-23,271.11243333333334
2021-06-24,271.1958
2021-06-25,271.2791666666667
2021-06-28,271.5292666666667
2021-06-29,271.61263333333335
2021-06-30,271.696
2021-07-01,271.7395666666667
2021-07-02,271.78313333333335
2021-07-05,271.91383333333334
2021-07-06,271.9574
2021-07-07,272.00096666666667
2021-07-08,272.04453333333333
2021-07-09,272.0881
2021-07-12,272.2188
2021-07-13,272.26236666666665
2021-07-14,272.3059333333333
2021-07-15,272.3495
2021-07-16,272.3930666666667
