Date,GPRI
1946-12-12,107.03360699069115
1946-12-13,106.8051287743353
1946-12-16,106.11969412526777
1946-12-17,105.89121590891192
1946-12-18,105.66273769255608
1946-12-19,105.43425947620022
1946-12-20,105.20578125984439
1946-12-23,104.52034661077684
1946-12-24,104.29186839442099
1946-12-25,104.06339017806515
1946-12-26,103.8349119617093
1946-12-27,103.60643374535346
1946-12-30,102.92099909628591
1946-12-31,102.69252087993007
1947-01-01,102.46404266357422
1947-01-02,102.31276161439958
1947-01-03,102.16148056522492
1947-01-06,101.70763741770098
1947-01-07,101.55635636852634
1947-01-08,101.4050753193517
1947-01-09,101.25379427017704
1947-01-10,101.1025132210024
1947-01-13,100.64867007347846
1947-01-14,100.4973890243038
1947-01-15,100.34610797512916
1947-01-16,100.19482692595452
1947-01-17,100.04354587677986
1947-01-20,99.58970272925592
1947-01-21,99.43842168008128
1947-01-22,99.28714063090663
1947-01-23,99.13585958173198
1947-01-24,98.98457853255734
1947-01-27,98.5307353850334
1947-01-28,98.37945433585874
1947-01-29,98.2281732866841
1947-01-30,98.07689223750945
1947-01-31,97.9256111883348
1947-02-03,99.267575945173
1947-02-04,100.0141988481794
1947-02-05,100.76082175118583
1947-02-06,101.50744465419224
1947-02-07,102.25406755719867
1947-02-10,104.49393626621791
1947-02-11,105.24055916922433
1947-02-12,105.98718207223075
1947-02-13,106.73380497523716
1947-02-14,107.48042787824359
1947-02-17,109.72029658726284
1947-02-18,110.46691949026925
1947-02-19,111.21354239327567
1947-02-20,111.96016529628209
1947-02-21,112.70678819928851
1947-02-24,114.94665690830776
1947-02-25,115.69327981131417
1947-02-26,116.4399027143206
1947-02-27,117.186525617327
1947-02-28,117.93314852033342
1947-03-03,117.65195661975491
1947-03-04,117.13804921796245
1947-03-05,116.62414181616998
1947-03-06,116.11023441437752
1947-03-07,115.59632701258505
1947-03-10,114.05460480720767
1947-03-11,113.5406974054152
1947-03-12,113.02679000362274
1947-03-13,112.51288260183027
1947-03-14,111.9989752000378
1947-03-17,110.45725299466041
1947-03-18,109.94334559286794
1947-03-19,109.42943819107548
1947-03-20,108.91553078928301
1947-03-21,108.40162338749055
1947-03-24,106.85990118211315
1947-03-25,106.3459937803207
1947-03-26,105.83208637852823
1947-03-27,105.31817897673577
1947-03-28,104.8042715749433
1947-03-31,103.2625493695659
1947-04-01,102.74864196777344
1947-04-02,102.32896041870117
1947-04-03,101.9092788696289
1947-04-04,101.48959732055664
1947-04-07,100.23055267333984
1947-04-08,99.81087112426758
1947-04-09,99.39118957519531
1947-04-10,98.97150802612305
1947-04-11,98.55182647705078
1947-04-14,97.29278182983398
1947-04-15,96.87310028076172
1947-04-16,96.45341873168945
1947-04-17,96.03373718261719
1947-04-18,95.61405563354492
1947-04-21,94.35501098632812
1947-04-22,93.93532943725586
1947-04-23,93.5156478881836
1947-04-24,93.09596633911133
1947-04-25,92.67628479003906
1947-04-28,91.41724014282227
1947-04-29,90.99755859375
1947-04-30,90.57787704467773
1947-05-01,90.15819549560547
1947-05-02,90.07238474199849
1947-05-05,89.81495248117754
1947-05-06,89.72914172757056
1947-05-07,89.64333097396359
1947-05-08,89.55752022035661
1947-05-09,89.47170946674962
